Nome,Ano,GeoLoc,Descricao
Batalha de Sedan,1940,"51.866389, 4.018889","Esta batalha fazia parte do plano da Wehrmacht onde era construída e realizada uma ofensiva de destruição das forças aliadas na Bélgica e no nordeste francês. O Heeresgruppe A atravessou o Rio Mosa com a intenção de capturar Sedan e avançar até ao Canal da Mancha, movimentação que permitiria cercar as forças expedicionárias aliadas."
Operação Paula,1940,"48.856614, 2.352222","Operação militar ofensiva da Luftwaffe durante a Segunda Guerra Mundial, cujo objectivo era o de destruir definitivamente a Força Aérea Francesa aquando da Batalha de França, em 1940."
Batalha de Dunquerque,1940,"51.038333, 2.3775",A Batalha de Dunquerque foi uma batalha durante a Segunda Guerra Mundial que durou de 25 de Maio a 4 de Junho de 1940. Uma enorme força britânica e francesa ficou encurralada por uma divisão panzer alemã a norte da França e entre o canal costeiro de Calais. Mais de 300 000 soldados aliados foram evacuados por via marítima.
Adlertag,1940,"50.183611, -0.531111","Adlertag foi o primeiro dia da Unternehmen Adlerangriff, o nome de código da operação militar da Força Aérea da Alemanha Nazi, a Luftwaffe, para subjugar e destruir a Real Força Aérea (RAF). Em Junho de 1940 os aliados haviam sido derrotados na Europa Ocidental e na Escandinávia; em vez de entrar em termos com a Alemanha, o Reino Unido rejeitou todas as propostas de paz e permaneceu em guerra."
Blitz,1940,"53.719028, -2.072784","A Blitzfoi a campanha de bombardeamentos estratégicos realizada na Segunda Guerra Mundial pela Luftwaffe - a aviação alemã - contra o Reino Unido, entre 7 de setembro de 1940 e 10 de maio de 1941. O nome provém da contração popular inglesa da palavra alemã Blitz."
Operação Cerberus,1942,"50.18362, -0.53112","A Operação Cerberus, foi um confronto naval durante a Segunda Guerra Mundial em que a frota da Kriegsmarine Alemã, contituida pelos os cruzadores Scharnhorst e Gneisenau, juntamente como cruzador pesado Prinz Eugen, apoiados por um número de navios menores, furou o bloqueio britânico e com êxito partiu de Brest na Bretanha para as bases sob controle alemão."
Operação Frankton,1942,"44.838611, -0.578333","Operação Frankton foi uma das operações especiais da marinha britânica durante Segunda Guerra Mundial, considerada extremamente perigosa e arrojada, levando em conta sua ousadia e as consequências sofridas pelos executores da mesma.Corria o terceiro ano da guerra e a França estava ocupada pelo alemães. O porto de Bordeaux, o terceiro maior na época, estava sendo usado para movimentar material essencial para o esforço de guerra alemão. Tornava-se, portanto, imperioso obstruir esta ação."
Levante do Gueto de Varsóvia,1943,"52.250468, 21.005237","O Levante do Gueto de Varsóvia foi um ato de resistência no Gueto de Varsóvia, na Polónia em 1943, contra a ocupação nazi alemã. Nessa altura já se tinham dado os transportes da maioria dos habitantes do gueto. Cerca de 300 mil das 380 mil pessoas no gueto tinham sido levadas para o campo de extermínio de Treblinka, onde foram assassinadas imediatamente após a sua chegada, no final do verão de 1942."
Batalha aérea de Berlim,1943,"52.516667, 13.394444","O termo Batalha de Berlim é algumas vez utilizado restritamente para a campanha de bombardeamento de Berlim da Royal Air Force, entre Novembro 1943 e Março 1944. O Comando de Bombardeamento organizou dezesseis ataques principais na capital alemã. Durante os ataques a RAF destruiu mais de 24 km² e perdeu 450 aviões. Arthur Harris planejou reduzir a cidade a nada mais que escombros para atingir a vitória. Harris queria também reduzir as baixas entre os soldados aliados, tentando evitar a necessidade de entrar em Berlim por terra."
Bolsa de Falaise,1944,"48.883333, -0.183333","A Bolsa de Falaise ou Batalha da Bolsa de Falaise (12-21 de Agosto de 1944) foi o confronto decisivo da mais abrangente Batalha da Normandia durante a Segunda Guerra Mundial. As forças alemãs do Grupo de Exércitos B, 7.º Exército e 5.º Exército Panzer (anterior Panzergruppe West), posicionaram-se em redor de Falaise, e foram cercadas pelas tropas aliadas."
Batalha da Normandia,1944,"48.87987, 0.171253","A Batalha da Normandia, cujo nome de código era Operação Overlord, foi a invasão das forças dos Estados Unidos, Reino Unido, França Livre e aliados na França ocupada pelos alemães na Segunda Guerra Mundial em 1944. Foi uma decisão política para manter a liberdade na Europa, ocorrida depois da derrota alemã para o Exército Vermelho, na famosa Batalha de Stalingrado. Setenta anos mais tarde, a invasão da Normandia continua sendo a maior invasão marítima da história, com quase três milhões de soldados a terem cruzado o Canal da Mancha, partindo de vários portos e campos de aviação na Inglaterra, com destino à Normandia, na França ocupada."
Batalha de Caen,1944,"49.183333, -0.35","A Batalha por Caen (Junho-Agosto de 1944) foi uma luta travada entre o exército britânico e o exército alemão (Wehrmacht), durante a Segunda Guerra Mundial, pelo controle da cidade de Caen e seus arredores, no decorrer da Batalha da Normandia. Foi uma das ações subsequentes a Operação Netuno, o desembarque dos Aliados na costa norte da França (o Dia-D)."
Batalha de Carentan,1944,"49.3, -1.233333","A batalha de Carentan foi um confronto militar travado durante a Segunda Guerra Mundial entre tropas americanas, liderados por unidades paraquedistas, e forças da Wehrmacht (exército alemão) no contexto da batalha pela Normandia. O combate aconteceu entre 10 e 14 de junho de 1944, na região da cidade de Carentan, na costa francesa."
Operação Cobra,1944,"49.116667, -1.083333",A Operação Cobra é o codinome de uma operação planejada durante a Segunda Guerra Mundial pelo general dos Estados Unidos Omar Bradley a fim de liberar a área da Normandia depois da invasão do Dia-D. Foi um grande sucesso que transformou a infantaria de combate da Normandia em uma disputa altamente mecanizada através da França. Isso levou diretamente para a derrota germânica no nordeste da França.
Liberação de Paris,1944,"48.858421, 2.30759","A libertação da cidade começou com um levante da Resistência Francesa contra a guarnição de alemã em Paris. Em 24 de agosto, as forças Forças Francesas do Interior receberam ajuda da organização França Livre e da popular 4ª Divisão de Infantaria dos Estados Unidos."
Operação Dragão,1944,"50.564717, 6.245516","Operação Dragão foi a invasão aliada no sul da França, em 15 de agosto de 1944, como parte da Segunda Guerra Mundial. Com a seguridade da Normandia e os alemães em retirada para a linha Siegfried, estes não conseguiram evitar a derrota. Não foi difícil derrotar as divisões alemãs na fronteira com a Itália, despachando divisões americanas e inglesas."
Operação Varsity,1945,"51.658611, 6.617778","A Operação Varsity foi uma grande e bem sucedida operação militar paraquedista lançada pelas forças Aliadas perto do fim da Segunda Guerra Mundial. Envolveu mais de 16 000 soldados paraquedistas e milhares de aeronaves, sendo, até aquele momento, a maior operação militar paraquedista da história."
Batalha do Rio da Prata,1939,"-36.864675, -51.918209","A Batalha do Rio da Prata foi a primeira grande batalha naval da Segunda Guerra Mundial, foi travada entre as marinhas inglesa e alemã. O combate aconteceu no Atlântico Sul em 13 de dezembro 1939, próximo ao estuário do rio da Prata."
Batalha do Estreito da Dinamarca,1941,"67.766667, -23.8","A Batalha do Estreito da Dinamarca foi um confronto naval da Segunda Guerra Mundial entre navios da Marinha Real Britânica e a Kriegsmarine, que ocorreu no dia 24 de maio de 1941. As embarcações britânicas HMS Hood e HMS Prince of Wales lutaram contra os alemães Bismarck e Prinz Eugen, que estavam tentando entrar no Atlântico Norte, com o objetivo de destruir comboios mercantes aliados."
Batalha de Wizna,1939,"53.194444, 22.383333","A Batalha de Wizna foi um episódio da Segunda Guerra Mundial, um confronto militar ocorrido entre 7 de setembro e 10 de setembro de 1939, entre as forças beligerantes da Polônia e da Alemanha Nazista e fez parte da Invasão da Polônia."
Batalha de Varsóvia,1939,"52.2323, 21.008433","A batalha de Varsóvia de 1939 foi a maior batalha ocorrida durante a invasão da Polônia pela Alemanha Nazi, na Segunda Guerra Mundial. Ela envolveu, de um lado, as tropas da Alemanha e, do outro, tropas do Exército Polonês e uma pequena milícia de civis voluntários de Varsóvia."
Defesa da fortaleza de Brest,1941,"52.083333, 23.7","A defesa da Fortaleza de Brest ocorreu entre 22 e 30 de junho de 1941, e foi uma das primeiras batalhas da Operação Barbarossa, durante a Segunda Guerra Mundial. A Fortaleza de Brest foi defendida pelo Exército Vermelho soviético contra a Wehrmacht da Alemanha nazista, durante um período mais longo do que esperado, e se tornou um símbolo da resistência soviética durante a chamada Grande Guerra Patriótica, juntamente com a as batalhas de Moscou, Leningrado e Stalingrado, que desencadearam o início do fim da máquina de guerra nazista. Em 1956 a fortaleza recebeu o título de Fortaleza Heroína pela sua defesa de 1941."
Cerco a Leninegrado,1941,"59.933333, 30.333333","O Cerco a Leningrado foi um cerco militar à então cidade de Leningrado (atualmente, São Petersburgo), na então União Soviética (atualmente, Rússia), pelas tropas da Alemanha Nazista, Itália e Finlândia durante a Segunda Guerra Mundial. Durou cerca de 900 dias, de 8 de Setembro de 1941 a 27 de Janeiro de 1944. Foi um dos cercos mais longos e destrutivos da história das guerras."
Batalha de Stalingrado,1942,"48.7, 44.516667","Batalha de Stalingrado foi uma operação militar conduzida pelos alemães e seus aliados contra as forças soviéticas pela posse da cidade de Stalingrado (atual Volgogrado), às margens do rio Volga, na antiga União Soviética, entre 17 de julho de 1942 e 2 de fevereiro de 1943, durante a Segunda Guerra Mundial."
Batalha de Xangai,1937,"31.23039, 121.473702",Batalha de Shanghai foi a primeira dos vinte e dois acoplamentos principais lutados entre a república da China e o império do Japão durante a Segunda Guerra Sino-Japonesa. Foi uma das mais sangrentas e maiores batalhas da guerra Sino-Japonesa.
Operação Tempestade de Agosto,1945,"43, 125","Conhecida pelos historiadores americanos e europeus como a Operação Tempestade de Agosto foi a grande ofensiva terrestre que a União Soviética realizou contra as forças japonesas instaladas no Estado fantoche de Manchukuo, apressando a rendição do Japão. Os soviéticos ocupariam posteriormente Mengjiang, o norte da China, o norte da Coreia, o sul da ilha Sacalina e as ilhas Curilas."
Invasão da Indochina Francesa,1940,"21.0333, 105.85","A invasão da Indochina Francesa foi uma operação organizada pelo Império do Japão com o objetivo de bloquear a entrada de armamentos, combustível e materiais fornecidos pelos Estados Unidos para a China através da ferrovia Haiphong-Yunnan Fou durante a Segunda Guerra Sino-Japonesa. A invasão de 32 mil soldados teve como foco principal a região norte de Tonkín."
Ocupação japonesa da Tailândia,1941," 9.138239, 99.321748","Império Japonês contou com o apoio dos tailandeses para permitir a passagem de suas tropas a caminho para invadir a Birmânia e a Malásia ocupadas pela Grã-Bretanha. Isto não era popular com grande parte da população, mas o governo tailandês acreditava que era preferível a conquista japonesa."
Batalha de Singapura,1942,"1.366667, 103.8","O Cerco de Singapura ou Batalha de Singapura foi uma batalha da Segunda Guerra Mundial que ocorreu entre 31 de Janeiro e 11 de Fevereiro de 1942. Desde os anos 20 do século XX que a Inglaterra fizera desta ilha, entre o Oceano Pacífico e o Oceano Índico, a sua principal base naval no Extremo Oriente. Fortaleza inexpugnável, assim se pensava, cujos acessos estavam defendidos pelo mar e pela selva, Singapura era uma peça-chave no tabuleiro de xadrez britânico."
Bombardeamentos de Hiroshima,1945,"34.383333, 132.45","Os bombardeamentos atômicos das cidades de Hiroshima e Nagasaki foram dois bombardeios realizados pelos Estados Unidos contra o Império do Japão durante os estágios finais da Segunda Guerra Mundial, em agosto de 1945. Foi o primeiro e único momento na história em que armas nucleares foram usadas em guerra e contra alvos civis."
Bombardeamentos de Nagasaki,1945,"32.783333, 129.866667","Os bombardeamentos atômicos das cidades de Hiroshima e Nagasaki foram dois bombardeios realizados pelos Estados Unidos contra o Império do Japão durante os estágios finais da Segunda Guerra Mundial, em agosto de 1945. Foi o primeiro e único momento na história em que armas nucleares foram usadas em guerra e contra alvos civis."
Batalha das Ilhas Komandorski,1943,"55, 167","A Batalha das Ilhas Komandorski foi uma batalha naval ocorrida durante a Segunda Guerra Mundial, entre a Marinha dos Estados Unidos e a Marinha Imperial Japonesa no Pacífico ao largo do norte das ilhas Komandorski. Este foi um dos compromissos navais mais incomuns da guerra."
Batalha de Okinawa,1945,"26.183333, 127.55","A Batalha de Okinawa teve lugar na ilha de Okinawa, no arquipélago de Ryukyu (sul das quatro maiores ilhas do Japão), tendo sido o maior ataque anfíbio durante a campanha do Pacífico da Segunda Guerra Mundial. Foi a maior batalha marítimo-terrestre-aérea da história, ocorrendo de Abril a Junho de 1945."
